target_char,stroke_count,ids,layout,baseline_readable,baseline_failure_type,baseline_failure_note,selection_reason,case_id,content_path,baseline_output_path
騫,20,⿱𡨄馬,⿱,yes,local_detail_collapse,,manual_baseline_inspection,0020,callirag/cases/content/0020.jpg,callirag/cases/baseline/0020/out_single.png
癱,24,⿸疒難,⿸,yes,local_detail_collapse,,manual_baseline_inspection,0021,callirag/cases/content/0021.jpg,callirag/cases/baseline/0021/out_single.png
霆,14,⿱雨廷,⿱,yes,local_detail_collapse,,manual_baseline_inspection,0023,callirag/cases/content/0023.jpg,callirag/cases/baseline/0023/out_single.png
鳞,20,⿰鱼粦,⿰,yes,local_detail_collapse,,manual_baseline_inspection,0053,callirag/cases/content/0053.jpg,callirag/cases/baseline/0053/out_single.png
變,23,⿱䜌攵,⿱,yes,local_detail_collapse,,manual_baseline_inspection,1249,callirag/cases/content/1249.jpg,callirag/cases/baseline/1249/out_single.png
鱸,27,⿰魚盧,⿰,yes,local_detail_collapse,,manual_baseline_inspection,1598,callirag/cases/content/1598.jpg,callirag/cases/baseline/1598/out_single.png
衢,24,⿲彳瞿亍,⿲,yes,local_detail_collapse,,manual_baseline_inspection,2089,callirag/cases/content/2089.jpg,callirag/cases/baseline/2089/out_single.png
矗,24,⿱直⿰直直,⿱,yes,local_detail_collapse,,manual_baseline_inspection,2281,callirag/cases/content/2281.jpg,callirag/cases/baseline/2281/out_single.png
鑽,27,⿰金贊,⿰,yes,local_detail_collapse,,manual_baseline_inspection,2354,callirag/cases/content/2354.jpg,callirag/cases/baseline/2354/out_single.png
麟,23,⿰鹿粦,⿰,yes,local_detail_collapse,,manual_baseline_inspection,2475,callirag/cases/content/2475.jpg,callirag/cases/baseline/2475/out_single.png
驢,26,⿰馬盧,⿰,yes,local_detail_collapse,,manual_baseline_inspection,3252,callirag/cases/content/3252.jpg,callirag/cases/baseline/3252/out_single.png
赢,17,⿱吂⿲月贝凡,⿱,yes,local_detail_collapse,,manual_baseline_inspection,3273,callirag/cases/content/3273.jpg,callirag/cases/baseline/3273/out_single.png
諢,16,⿰言軍,⿰,yes,local_detail_collapse,,manual_baseline_inspection,3323,callirag/cases/content/3323.jpg,callirag/cases/baseline/3323/out_single.png
囊,22,⿳⿻一中冖⿱⿱吅𠀎𧘇,⿳,yes,local_detail_collapse,,manual_baseline_inspection,4118,callirag/cases/content/4118.jpg,callirag/cases/baseline/4118/out_single.png
鑫,24,⿱金鍂,⿱,yes,local_detail_collapse,,manual_baseline_inspection,5582,callirag/cases/content/5582.jpg,callirag/cases/baseline/5582/out_single.png
