target_char,stroke_count,ids,layout,valid_bank_size,shared_component_candidate_count,same_layout_candidate_count,similar_stroke_count_candidate_count,top_level_overlap_count,fine_detail_candidate_count,coverage_status
騫,20,⿱𡨄馬,⿱,2910,400,722,515,5,29,Good
癱,24,⿸疒難,⿸,2909,1102,137,101,44,0,Good
霆,14,⿱雨廷,⿱,2909,26,721,2006,22,15,Good
鳞,20,⿰鱼粦,⿰,2909,71,1739,514,26,28,Good
變,23,⿱䜌攵,⿱,2909,175,721,138,27,3,Good
鱸,27,⿰魚盧,⿰,2910,306,1740,26,0,2,Good
衢,24,⿲彳瞿亍,⿲,2909,192,13,101,24,0,Weak
矗,24,⿱直⿰直直,⿱,2909,688,721,101,4,13,Good
鑽,27,⿰金贊,⿰,2909,1316,1739,25,19,9,Good
麟,23,⿰鹿粦,⿰,2909,273,1739,138,7,13,Good
驢,26,⿰馬盧,⿰,2910,192,1740,40,0,1,Good
赢,17,⿱吂⿲月贝凡,⿱,2907,795,719,1210,0,66,Good
諢,16,⿰言軍,⿰,2910,177,1740,1496,70,109,Good
囊,22,⿳⿻一中冖⿱⿱吅𠀎𧘇,⿳,2909,721,25,222,6,1,Good
鑫,24,⿱金鍂,⿱,2909,1111,721,101,19,18,Good
