target_char,retrieval_type,rank,bank_id,retrieved_char,contains_key_component,layout_match,fine_detail_relevant,dense_region_match,useful_for_failure_note,annotation_note
璨,structural,1,wxz_5605,瑗,,,,,,
璨,structural,2,wxz_5794,璜,,,,,,
璨,structural,3,wxz_0866,環,,,,,,
璨,structural,4,wxz_1058,瑾,,,,,,
璨,structural,5,wxz_2032,璋,,,,,,
璨,random,1,wxz_6536,警,,,,,,
璨,random,2,wxz_1577,王,,,,,,
璨,random,3,wxz_3326,香,,,,,,
璨,random,4,wxz_3402,迷,,,,,,
璨,random,5,wxz_4747,娟,,,,,,
霆,structural,1,wxz_5623,零,,,,,,
霆,structural,2,wxz_6027,霉,,,,,,
霆,structural,3,wxz_6222,霏,,,,,,
霆,structural,4,wxz_1034,雷,,,,,,
霆,structural,5,wxz_1107,霖,,,,,,
霆,random,1,wxz_6378,岬,,,,,,
霆,random,2,wxz_0767,江,,,,,,
霆,random,3,wxz_4295,願,,,,,,
霆,random,4,wxz_4490,住,,,,,,
霆,random,5,wxz_3850,淼,,,,,,
鳞,structural,1,wxz_0915,憐,,,,,,
鳞,structural,2,wxz_2475,麟,,,,,,
鳞,structural,3,wxz_2636,磷,,,,,,
鳞,structural,4,wxz_3849,鄰,,,,,,
鳞,structural,5,wxz_3284,遴,,,,,,
鳞,random,1,wxz_2565,舰,,,,,,
鳞,random,2,wxz_4014,盛,,,,,,
鳞,random,3,wxz_3763,孫,,,,,,
鳞,random,4,wxz_3212,填,,,,,,
鳞,random,5,wxz_4150,硫,,,,,,
彎,structural,1,wxz_1249,變,,,,,,
彎,structural,2,wxz_6536,警,,,,,,
彎,structural,3,wxz_4440,燮,,,,,,
彎,structural,4,wxz_5895,弟,,,,,,
彎,structural,5,wxz_6339,第,,,,,,
彎,random,1,wxz_2740,副,,,,,,
彎,random,2,wxz_0910,偽,,,,,,
彎,random,3,wxz_5423,誰,,,,,,
彎,random,4,wxz_4415,玉,,,,,,
彎,random,5,wxz_6174,限,,,,,,
瘻,structural,1,wxz_6658,瘠,,,,,,
瘻,structural,2,wxz_0210,瘦,,,,,,
瘻,structural,3,wxz_0583,療,,,,,,
瘻,structural,4,wxz_1593,瘙,,,,,,
瘻,structural,5,wxz_1610,瘟,,,,,,
瘻,random,1,wxz_6464,灼,,,,,,
瘻,random,2,wxz_1310,裂,,,,,,
瘻,random,3,wxz_6331,移,,,,,,
瘻,random,4,wxz_2817,根,,,,,,
瘻,random,5,wxz_5514,晏,,,,,,
秦,structural,1,wxz_3725,秋,,,,,,
秦,structural,2,wxz_2053,稔,,,,,,
秦,structural,3,wxz_5800,季,,,,,,
秦,structural,4,wxz_1071,奉,,,,,,
秦,structural,5,wxz_1537,泰,,,,,,
秦,random,1,wxz_5128,顧,,,,,,
秦,random,2,wxz_3207,折,,,,,,
秦,random,3,wxz_5080,甸,,,,,,
秦,random,4,wxz_1526,凸,,,,,,
秦,random,5,wxz_0646,哥,,,,,,
赢,structural,1,wxz_2834,瀛,,,,,,
赢,structural,2,wxz_6154,臂,,,,,,
赢,structural,3,wxz_0976,葫,,,,,,
赢,structural,4,wxz_2393,膏,,,,,,
赢,structural,5,wxz_1487,望,,,,,,
赢,random,1,wxz_2323,市,,,,,,
赢,random,2,wxz_0999,伊,,,,,,
赢,random,3,wxz_1844,馨,,,,,,
赢,random,4,wxz_1938,蛀,,,,,,
赢,random,5,wxz_2128,够,,,,,,
諢,structural,1,wxz_5650,輝,,,,,,
諢,structural,2,wxz_6615,諦,,,,,,
諢,structural,3,wxz_1617,渾,,,,,,
諢,structural,4,wxz_3077,惲,,,,,,
諢,structural,5,wxz_4455,琿,,,,,,
諢,random,1,wxz_3421,也,,,,,,
諢,random,2,wxz_4661,兩,,,,,,
諢,random,3,wxz_6132,涕,,,,,,
諢,random,4,wxz_1782,粘,,,,,,
諢,random,5,wxz_6251,屑,,,,,,
