retrieval_type,metric,k,numerator,denominator,value
structural,component_hit_rate,1,0,8,0.0
structural,layout_match_rate,1,0,8,0.0
structural,fine_detail_relevance_rate,1,0,8,0.0
structural,component_hit_rate,3,0,24,0.0
structural,layout_match_rate,3,0,24,0.0
structural,fine_detail_relevance_rate,3,0,24,0.0
structural,component_hit_rate,5,0,40,0.0
structural,layout_match_rate,5,0,40,0.0
structural,fine_detail_relevance_rate,5,0,40,0.0
random,component_hit_rate,1,0,8,0.0
random,layout_match_rate,1,0,8,0.0
random,fine_detail_relevance_rate,1,0,8,0.0
random,component_hit_rate,3,0,24,0.0
random,layout_match_rate,3,0,24,0.0
random,fine_detail_relevance_rate,3,0,24,0.0
random,component_hit_rate,5,0,40,0.0
random,layout_match_rate,5,0,40,0.0
random,fine_detail_relevance_rate,5,0,40,0.0
