target_char,group,ref_char,ref_path,retrieval_rank,ref_selection_seed,generation_seed,content_path,output_path,note
騫,A,霧,/d/htt/data/image/test/wxz/5395.jpg,,,11085,callirag/cases/content/0020.jpg,callirag/outputs/layer2/generation_outputs/騫_A.png,fixed_baseline
騫,B,音,/d/htt/data/image/test/wxz/6266.jpg,,0,11085,callirag/cases/content/0020.jpg,callirag/outputs/layer2/generation_outputs/騫_B_seed0.png,uniform_random
騫,B,秉,/d/htt/data/image/train/wxz/4563.jpg,,1,11085,callirag/cases/content/0020.jpg,callirag/outputs/layer2/generation_outputs/騫_B_seed1.png,uniform_random
騫,B,漳,/d/htt/data/image/test/wxz/6629.jpg,,2,11085,callirag/cases/content/0020.jpg,callirag/outputs/layer2/generation_outputs/騫_B_seed2.png,uniform_random
騫,B,控,/d/htt/data/image/train/wxz/3922.jpg,,3,11085,callirag/cases/content/0020.jpg,callirag/outputs/layer2/generation_outputs/騫_B_seed3.png,uniform_random
騫,B,淑,/d/htt/data/image/train/wxz/2182.jpg,,4,11085,callirag/cases/content/0020.jpg,callirag/outputs/layer2/generation_outputs/騫_B_seed4.png,uniform_random
騫,C,賽,/d/htt/data/image/train/wxz/2995.jpg,1,,11085,callirag/cases/content/0020.jpg,callirag/outputs/layer2/generation_outputs/騫_C_rank1.png,structural_top1
騫,D,搴,/d/htt/data/image/train/wxz/0751.jpg,3,,11085,callirag/cases/content/0020.jpg,callirag/outputs/layer2/generation_outputs/騫_D_rank3.png,rank_ablation
騫,D,寨,/d/htt/data/image/train/wxz/4590.jpg,5,,11085,callirag/cases/content/0020.jpg,callirag/outputs/layer2/generation_outputs/騫_D_rank5.png,rank_ablation
癱,A,霧,/d/htt/data/image/test/wxz/5395.jpg,,,6542,callirag/cases/content/0021.jpg,callirag/outputs/layer2/generation_outputs/癱_A.png,fixed_baseline
癱,B,查,/d/htt/data/image/test/wxz/6014.jpg,,0,6542,callirag/cases/content/0021.jpg,callirag/outputs/layer2/generation_outputs/癱_B_seed0.png,uniform_random
癱,B,晏,/d/htt/data/image/test/wxz/5514.jpg,,1,6542,callirag/cases/content/0021.jpg,callirag/outputs/layer2/generation_outputs/癱_B_seed1.png,uniform_random
癱,B,肉,/d/htt/data/image/train/wxz/3786.jpg,,2,6542,callirag/cases/content/0021.jpg,callirag/outputs/layer2/generation_outputs/癱_B_seed2.png,uniform_random
癱,B,忽,/d/htt/data/image/train/wxz/2974.jpg,,3,6542,callirag/cases/content/0021.jpg,callirag/outputs/layer2/generation_outputs/癱_B_seed3.png,uniform_random
癱,B,蛋,/d/htt/data/image/train/wxz/1688.jpg,,4,6542,callirag/cases/content/0021.jpg,callirag/outputs/layer2/generation_outputs/癱_B_seed4.png,uniform_random
癱,C,灘,/d/htt/data/image/train/wxz/3626.jpg,1,,6542,callirag/cases/content/0021.jpg,callirag/outputs/layer2/generation_outputs/癱_C_rank1.png,structural_top1
癱,D,難,/d/htt/data/image/test/wxz/6516.jpg,3,,6542,callirag/cases/content/0021.jpg,callirag/outputs/layer2/generation_outputs/癱_D_rank3.png,rank_ablation
癱,D,漢,/d/htt/data/image/train/wxz/1879.jpg,5,,6542,callirag/cases/content/0021.jpg,callirag/outputs/layer2/generation_outputs/癱_D_rank5.png,rank_ablation
霆,A,霧,/d/htt/data/image/test/wxz/5395.jpg,,,11263,callirag/cases/content/0023.jpg,callirag/outputs/layer2/generation_outputs/霆_A.png,fixed_baseline
霆,B,淋,/d/htt/data/image/test/wxz/5850.jpg,,0,11263,callirag/cases/content/0023.jpg,callirag/outputs/layer2/generation_outputs/霆_B_seed0.png,uniform_random
霆,B,宫,/d/htt/data/image/train/wxz/4128.jpg,,1,11263,callirag/cases/content/0023.jpg,callirag/outputs/layer2/generation_outputs/霆_B_seed1.png,uniform_random
霆,B,照,/d/htt/data/image/test/wxz/5844.jpg,,2,11263,callirag/cases/content/0023.jpg,callirag/outputs/layer2/generation_outputs/霆_B_seed2.png,uniform_random
霆,B,圭,/d/htt/data/image/test/wxz/5717.jpg,,3,11263,callirag/cases/content/0023.jpg,callirag/outputs/layer2/generation_outputs/霆_B_seed3.png,uniform_random
霆,B,灘,/d/htt/data/image/train/wxz/3626.jpg,,4,11263,callirag/cases/content/0023.jpg,callirag/outputs/layer2/generation_outputs/霆_B_seed4.png,uniform_random
霆,C,零,/d/htt/data/image/test/wxz/5623.jpg,1,,11263,callirag/cases/content/0023.jpg,callirag/outputs/layer2/generation_outputs/霆_C_rank1.png,structural_top1
霆,D,霏,/d/htt/data/image/test/wxz/6222.jpg,3,,11263,callirag/cases/content/0023.jpg,callirag/outputs/layer2/generation_outputs/霆_D_rank3.png,rank_ablation
霆,D,霖,/d/htt/data/image/train/wxz/1107.jpg,5,,11263,callirag/cases/content/0023.jpg,callirag/outputs/layer2/generation_outputs/霆_D_rank5.png,rank_ablation
鳞,A,霧,/d/htt/data/image/test/wxz/5395.jpg,,,10507,callirag/cases/content/0053.jpg,callirag/outputs/layer2/generation_outputs/鳞_A.png,fixed_baseline
鳞,B,洋,/d/htt/data/image/train/wxz/4034.jpg,,0,10507,callirag/cases/content/0053.jpg,callirag/outputs/layer2/generation_outputs/鳞_B_seed0.png,uniform_random
鳞,B,顫,/d/htt/data/image/train/wxz/0093.jpg,,1,10507,callirag/cases/content/0053.jpg,callirag/outputs/layer2/generation_outputs/鳞_B_seed1.png,uniform_random
鳞,B,敞,/d/htt/data/image/train/wxz/3250.jpg,,2,10507,callirag/cases/content/0053.jpg,callirag/outputs/layer2/generation_outputs/鳞_B_seed2.png,uniform_random
鳞,B,挪,/d/htt/data/image/train/wxz/3340.jpg,,3,10507,callirag/cases/content/0053.jpg,callirag/outputs/layer2/generation_outputs/鳞_B_seed3.png,uniform_random
鳞,B,彈,/d/htt/data/image/train/wxz/2363.jpg,,4,10507,callirag/cases/content/0053.jpg,callirag/outputs/layer2/generation_outputs/鳞_B_seed4.png,uniform_random
鳞,C,憐,/d/htt/data/image/train/wxz/0915.jpg,1,,10507,callirag/cases/content/0053.jpg,callirag/outputs/layer2/generation_outputs/鳞_C_rank1.png,structural_top1
鳞,D,磷,/d/htt/data/image/train/wxz/2636.jpg,3,,10507,callirag/cases/content/0053.jpg,callirag/outputs/layer2/generation_outputs/鳞_D_rank3.png,rank_ablation
鳞,D,遴,/d/htt/data/image/train/wxz/3284.jpg,5,,10507,callirag/cases/content/0053.jpg,callirag/outputs/layer2/generation_outputs/鳞_D_rank5.png,rank_ablation
變,A,霧,/d/htt/data/image/test/wxz/5395.jpg,,,6492,callirag/cases/content/1249.jpg,callirag/outputs/layer2/generation_outputs/變_A.png,fixed_baseline
變,B,諸,/d/htt/data/image/train/wxz/2770.jpg,,0,6492,callirag/cases/content/1249.jpg,callirag/outputs/layer2/generation_outputs/變_B_seed0.png,uniform_random
變,B,净,/d/htt/data/image/train/wxz/0286.jpg,,1,6492,callirag/cases/content/1249.jpg,callirag/outputs/layer2/generation_outputs/變_B_seed1.png,uniform_random
變,B,臻,/d/htt/data/image/train/wxz/5315.jpg,,2,6492,callirag/cases/content/1249.jpg,callirag/outputs/layer2/generation_outputs/變_B_seed2.png,uniform_random
變,B,味,/d/htt/data/image/test/wxz/6275.jpg,,3,6492,callirag/cases/content/1249.jpg,callirag/outputs/layer2/generation_outputs/變_B_seed3.png,uniform_random
變,B,瀚,/d/htt/data/image/test/wxz/6306.jpg,,4,6492,callirag/cases/content/1249.jpg,callirag/outputs/layer2/generation_outputs/變_B_seed4.png,uniform_random
變,C,警,/d/htt/data/image/test/wxz/6536.jpg,1,,6492,callirag/cases/content/1249.jpg,callirag/outputs/layer2/generation_outputs/變_C_rank1.png,structural_top1
變,D,徽,/d/htt/data/image/train/wxz/0894.jpg,3,,6492,callirag/cases/content/1249.jpg,callirag/outputs/layer2/generation_outputs/變_D_rank3.png,rank_ablation
變,D,霰,/d/htt/data/image/test/wxz/5966.jpg,5,,6492,callirag/cases/content/1249.jpg,callirag/outputs/layer2/generation_outputs/變_D_rank5.png,rank_ablation
鱸,A,霧,/d/htt/data/image/test/wxz/5395.jpg,,,10403,callirag/cases/content/1598.jpg,callirag/outputs/layer2/generation_outputs/鱸_A.png,fixed_baseline
鱸,B,蝌,/d/htt/data/image/test/wxz/6200.jpg,,0,10403,callirag/cases/content/1598.jpg,callirag/outputs/layer2/generation_outputs/鱸_B_seed0.png,uniform_random
鱸,B,罕,/d/htt/data/image/train/wxz/2652.jpg,,1,10403,callirag/cases/content/1598.jpg,callirag/outputs/layer2/generation_outputs/鱸_B_seed1.png,uniform_random
鱸,B,晶,/d/htt/data/image/train/wxz/0950.jpg,,2,10403,callirag/cases/content/1598.jpg,callirag/outputs/layer2/generation_outputs/鱸_B_seed2.png,uniform_random
鱸,B,邀,/d/htt/data/image/train/wxz/2562.jpg,,3,10403,callirag/cases/content/1598.jpg,callirag/outputs/layer2/generation_outputs/鱸_B_seed3.png,uniform_random
鱸,B,蜂,/d/htt/data/image/train/wxz/2180.jpg,,4,10403,callirag/cases/content/1598.jpg,callirag/outputs/layer2/generation_outputs/鱸_B_seed4.png,uniform_random
鱸,C,蘇,/d/htt/data/image/train/wxz/3407.jpg,1,,10403,callirag/cases/content/1598.jpg,callirag/outputs/layer2/generation_outputs/鱸_C_rank1.png,structural_top1
鱸,D,璨,/d/htt/data/image/train/wxz/0015.jpg,3,,10403,callirag/cases/content/1598.jpg,callirag/outputs/layer2/generation_outputs/鱸_D_rank3.png,rank_ablation
鱸,D,鲷,/d/htt/data/image/train/wxz/0256.jpg,5,,10403,callirag/cases/content/1598.jpg,callirag/outputs/layer2/generation_outputs/鱸_D_rank5.png,rank_ablation
衢,A,霧,/d/htt/data/image/test/wxz/5395.jpg,,,9472,callirag/cases/content/2089.jpg,callirag/outputs/layer2/generation_outputs/衢_A.png,fixed_baseline
衢,B,卑,/d/htt/data/image/train/wxz/2316.jpg,,0,9472,callirag/cases/content/2089.jpg,callirag/outputs/layer2/generation_outputs/衢_B_seed0.png,uniform_random
衢,B,浸,/d/htt/data/image/train/wxz/2004.jpg,,1,9472,callirag/cases/content/2089.jpg,callirag/outputs/layer2/generation_outputs/衢_B_seed1.png,uniform_random
衢,B,趣,/d/htt/data/image/train/wxz/2670.jpg,,2,9472,callirag/cases/content/2089.jpg,callirag/outputs/layer2/generation_outputs/衢_B_seed2.png,uniform_random
衢,B,捍,/d/htt/data/image/test/wxz/5769.jpg,,3,9472,callirag/cases/content/2089.jpg,callirag/outputs/layer2/generation_outputs/衢_B_seed3.png,uniform_random
衢,B,嫦,/d/htt/data/image/train/wxz/0494.jpg,,4,9472,callirag/cases/content/2089.jpg,callirag/outputs/layer2/generation_outputs/衢_B_seed4.png,uniform_random
衢,C,衍,/d/htt/data/image/train/wxz/1194.jpg,1,,9472,callirag/cases/content/2089.jpg,callirag/outputs/layer2/generation_outputs/衢_C_rank1.png,structural_top1
衢,D,街,/d/htt/data/image/train/wxz/2512.jpg,3,,9472,callirag/cases/content/2089.jpg,callirag/outputs/layer2/generation_outputs/衢_D_rank3.png,rank_ablation
衢,D,衛,/d/htt/data/image/train/wxz/3132.jpg,5,,9472,callirag/cases/content/2089.jpg,callirag/outputs/layer2/generation_outputs/衢_D_rank5.png,rank_ablation
矗,A,霧,/d/htt/data/image/test/wxz/5395.jpg,,,9876,callirag/cases/content/2281.jpg,callirag/outputs/layer2/generation_outputs/矗_A.png,fixed_baseline
矗,B,所,/d/htt/data/image/train/wxz/3689.jpg,,0,9876,callirag/cases/content/2281.jpg,callirag/outputs/layer2/generation_outputs/矗_B_seed0.png,uniform_random
矗,B,蜩,/d/htt/data/image/train/wxz/2169.jpg,,1,9876,callirag/cases/content/2281.jpg,callirag/outputs/layer2/generation_outputs/矗_B_seed1.png,uniform_random
矗,B,啶,/d/htt/data/image/train/wxz/0161.jpg,,2,9876,callirag/cases/content/2281.jpg,callirag/outputs/layer2/generation_outputs/矗_B_seed2.png,uniform_random
矗,B,夜,/d/htt/data/image/test/wxz/5673.jpg,,3,9876,callirag/cases/content/2281.jpg,callirag/outputs/layer2/generation_outputs/矗_B_seed3.png,uniform_random
矗,B,垢,/d/htt/data/image/train/wxz/3206.jpg,,4,9876,callirag/cases/content/2281.jpg,callirag/outputs/layer2/generation_outputs/矗_B_seed4.png,uniform_random
矗,C,置,/d/htt/data/image/train/wxz/5063.jpg,1,,9876,callirag/cases/content/2281.jpg,callirag/outputs/layer2/generation_outputs/矗_C_rank1.png,structural_top1
矗,D,值,/d/htt/data/image/test/wxz/5509.jpg,3,,9876,callirag/cases/content/2281.jpg,callirag/outputs/layer2/generation_outputs/矗_D_rank3.png,rank_ablation
矗,D,殖,/d/htt/data/image/train/wxz/2408.jpg,5,,9876,callirag/cases/content/2281.jpg,callirag/outputs/layer2/generation_outputs/矗_D_rank5.png,rank_ablation
鑽,A,霧,/d/htt/data/image/test/wxz/5395.jpg,,,4966,callirag/cases/content/2354.jpg,callirag/outputs/layer2/generation_outputs/鑽_A.png,fixed_baseline
鑽,B,耗,/d/htt/data/image/train/wxz/4242.jpg,,0,4966,callirag/cases/content/2354.jpg,callirag/outputs/layer2/generation_outputs/鑽_B_seed0.png,uniform_random
鑽,B,用,/d/htt/data/image/test/wxz/6379.jpg,,1,4966,callirag/cases/content/2354.jpg,callirag/outputs/layer2/generation_outputs/鑽_B_seed1.png,uniform_random
鑽,B,允,/d/htt/data/image/test/wxz/5972.jpg,,2,4966,callirag/cases/content/2354.jpg,callirag/outputs/layer2/generation_outputs/鑽_B_seed2.png,uniform_random
鑽,B,梅,/d/htt/data/image/train/wxz/3441.jpg,,3,4966,callirag/cases/content/2354.jpg,callirag/outputs/layer2/generation_outputs/鑽_B_seed3.png,uniform_random
鑽,B,靠,/d/htt/data/image/train/wxz/5098.jpg,,4,4966,callirag/cases/content/2354.jpg,callirag/outputs/layer2/generation_outputs/鑽_B_seed4.png,uniform_random
鑽,C,銑,/d/htt/data/image/train/wxz/1798.jpg,1,,4966,callirag/cases/content/2354.jpg,callirag/outputs/layer2/generation_outputs/鑽_C_rank1.png,structural_top1
鑽,D,爆,/d/htt/data/image/train/wxz/1469.jpg,3,,4966,callirag/cases/content/2354.jpg,callirag/outputs/layer2/generation_outputs/鑽_D_rank3.png,rank_ablation
鑽,D,鎬,/d/htt/data/image/test/wxz/5426.jpg,5,,4966,callirag/cases/content/2354.jpg,callirag/outputs/layer2/generation_outputs/鑽_D_rank5.png,rank_ablation
麟,A,霧,/d/htt/data/image/test/wxz/5395.jpg,,,6220,callirag/cases/content/2475.jpg,callirag/outputs/layer2/generation_outputs/麟_A.png,fixed_baseline
麟,B,侗,/d/htt/data/image/train/wxz/4188.jpg,,0,6220,callirag/cases/content/2475.jpg,callirag/outputs/layer2/generation_outputs/麟_B_seed0.png,uniform_random
麟,B,恨,/d/htt/data/image/train/wxz/3936.jpg,,1,6220,callirag/cases/content/2475.jpg,callirag/outputs/layer2/generation_outputs/麟_B_seed1.png,uniform_random
麟,B,旦,/d/htt/data/image/train/wxz/0671.jpg,,2,6220,callirag/cases/content/2475.jpg,callirag/outputs/layer2/generation_outputs/麟_B_seed2.png,uniform_random
麟,B,咕,/d/htt/data/image/train/wxz/4667.jpg,,3,6220,callirag/cases/content/2475.jpg,callirag/outputs/layer2/generation_outputs/麟_B_seed3.png,uniform_random
