pair_id,sheet_image,evaluator_id,choice,reason_tags,free_note,allowed_choices,allowed_reason_tags,free_note_example
P0001,D:/htt/callirag/outputs/layer2/blind_pair_sheets/P0001.png,,,,,left better|right better|tie|unclear,local_detail_better|component_structure_better,右图局部更完整；左图有 missing stroke / wrong connection
P0002,D:/htt/callirag/outputs/layer2/blind_pair_sheets/P0002.png,,,,,left better|right better|tie|unclear,local_detail_better|component_structure_better,右图局部更完整；左图有 missing stroke / wrong connection
P0003,D:/htt/callirag/outputs/layer2/blind_pair_sheets/P0003.png,,,,,left better|right better|tie|unclear,local_detail_better|component_structure_better,右图局部更完整；左图有 missing stroke / wrong connection
P0004,D:/htt/callirag/outputs/layer2/blind_pair_sheets/P0004.png,,,,,left better|right better|tie|unclear,local_detail_better|component_structure_better,右图局部更完整；左图有 missing stroke / wrong connection
P0005,D:/htt/callirag/outputs/layer2/blind_pair_sheets/P0005.png,,,,,left better|right better|tie|unclear,local_detail_better|component_structure_better,右图局部更完整；左图有 missing stroke / wrong connection
P0006,D:/htt/callirag/outputs/layer2/blind_pair_sheets/P0006.png,,,,,left better|right better|tie|unclear,local_detail_better|component_structure_better,右图局部更完整；左图有 missing stroke / wrong connection
P0007,D:/htt/callirag/outputs/layer2/blind_pair_sheets/P0007.png,,,,,left better|right better|tie|unclear,local_detail_better|component_structure_better,右图局部更完整；左图有 missing stroke / wrong connection
P0008,D:/htt/callirag/outputs/layer2/blind_pair_sheets/P0008.png,,,,,left better|right better|tie|unclear,local_detail_better|component_structure_better,右图局部更完整；左图有 missing stroke / wrong connection
P0009,D:/htt/callirag/outputs/layer2/blind_pair_sheets/P0009.png,,,,,left better|right better|tie|unclear,local_detail_better|component_structure_better,右图局部更完整；左图有 missing stroke / wrong connection
P0010,D:/htt/callirag/outputs/layer2/blind_pair_sheets/P0010.png,,,,,left better|right better|tie|unclear,local_detail_better|component_structure_better,右图局部更完整；左图有 missing stroke / wrong connection
P0011,D:/htt/callirag/outputs/layer2/blind_pair_sheets/P0011.png,,,,,left better|right better|tie|unclear,local_detail_better|component_structure_better,右图局部更完整；左图有 missing stroke / wrong connection
P0012,D:/htt/callirag/outputs/layer2/blind_pair_sheets/P0012.png,,,,,left better|right better|tie|unclear,local_detail_better|component_structure_better,右图局部更完整；左图有 missing stroke / wrong connection
P0013,D:/htt/callirag/outputs/layer2/blind_pair_sheets/P0013.png,,,,,left better|right better|tie|unclear,local_detail_better|component_structure_better,右图局部更完整；左图有 missing stroke / wrong connection
P0014,D:/htt/callirag/outputs/layer2/blind_pair_sheets/P0014.png,,,,,left better|right better|tie|unclear,local_detail_better|component_structure_better,右图局部更完整；左图有 missing stroke / wrong connection
P0015,D:/htt/callirag/outputs/layer2/blind_pair_sheets/P0015.png,,,,,left better|right better|tie|unclear,local_detail_better|component_structure_better,右图局部更完整；左图有 missing stroke / wrong connection
P0016,D:/htt/callirag/outputs/layer2/blind_pair_sheets/P0016.png,,,,,left better|right better|tie|unclear,local_detail_better|component_structure_better,右图局部更完整；左图有 missing stroke / wrong connection
P0017,D:/htt/callirag/outputs/layer2/blind_pair_sheets/P0017.png,,,,,left better|right better|tie|unclear,local_detail_better|component_structure_better,右图局部更完整；左图有 missing stroke / wrong connection
P0018,D:/htt/callirag/outputs/layer2/blind_pair_sheets/P0018.png,,,,,left better|right better|tie|unclear,local_detail_better|component_structure_better,右图局部更完整；左图有 missing stroke / wrong connection
P0019,D:/htt/callirag/outputs/layer2/blind_pair_sheets/P0019.png,,,,,left better|right better|tie|unclear,local_detail_better|component_structure_better,右图局部更完整；左图有 missing stroke / wrong connection
P0020,D:/htt/callirag/outputs/layer2/blind_pair_sheets/P0020.png,,,,,left better|right better|tie|unclear,local_detail_better|component_structure_better,右图局部更完整；左图有 missing stroke / wrong connection
P0021,D:/htt/callirag/outputs/layer2/blind_pair_sheets/P0021.png,,,,,left better|right better|tie|unclear,local_detail_better|component_structure_better,右图局部更完整；左图有 missing stroke / wrong connection
P0022,D:/htt/callirag/outputs/layer2/blind_pair_sheets/P0022.png,,,,,left better|right better|tie|unclear,local_detail_better|component_structure_better,右图局部更完整；左图有 missing stroke / wrong connection
P0023,D:/htt/callirag/outputs/layer2/blind_pair_sheets/P0023.png,,,,,left better|right better|tie|unclear,local_detail_better|component_structure_better,右图局部更完整；左图有 missing stroke / wrong connection
P0024,D:/htt/callirag/outputs/layer2/blind_pair_sheets/P0024.png,,,,,left better|right better|tie|unclear,local_detail_better|component_structure_better,右图局部更完整；左图有 missing stroke / wrong connection
P0025,D:/htt/callirag/outputs/layer2/blind_pair_sheets/P0025.png,,,,,left better|right better|tie|unclear,local_detail_better|component_structure_better,右图局部更完整；左图有 missing stroke / wrong connection
P0026,D:/htt/callirag/outputs/layer2/blind_pair_sheets/P0026.png,,,,,left better|right better|tie|unclear,local_detail_better|component_structure_better,右图局部更完整；左图有 missing stroke / wrong connection
P0027,D:/htt/callirag/outputs/layer2/blind_pair_sheets/P0027.png,,,,,left better|right better|tie|unclear,local_detail_better|component_structure_better,右图局部更完整；左图有 missing stroke / wrong connection
P0028,D:/htt/callirag/outputs/layer2/blind_pair_sheets/P0028.png,,,,,left better|right better|tie|unclear,local_detail_better|component_structure_better,右图局部更完整；左图有 missing stroke / wrong connection
P0029,D:/htt/callirag/outputs/layer2/blind_pair_sheets/P0029.png,,,,,left better|right better|tie|unclear,local_detail_better|component_structure_better,右图局部更完整；左图有 missing stroke / wrong connection
P0030,D:/htt/callirag/outputs/layer2/blind_pair_sheets/P0030.png,,,,,left better|right better|tie|unclear,local_detail_better|component_structure_better,右图局部更完整；左图有 missing stroke / wrong connection
P0031,D:/htt/callirag/outputs/layer2/blind_pair_sheets/P0031.png,,,,,left better|right better|tie|unclear,local_detail_better|component_structure_better,右图局部更完整；左图有 missing stroke / wrong connection
P0032,D:/htt/callirag/outputs/layer2/blind_pair_sheets/P0032.png,,,,,left better|right better|tie|unclear,local_detail_better|component_structure_better,右图局部更完整；左图有 missing stroke / wrong connection
P0033,D:/htt/callirag/outputs/layer2/blind_pair_sheets/P0033.png,,,,,left better|right better|tie|unclear,local_detail_better|component_structure_better,右图局部更完整；左图有 missing stroke / wrong connection
P0034,D:/htt/callirag/outputs/layer2/blind_pair_sheets/P0034.png,,,,,left better|right better|tie|unclear,local_detail_better|component_structure_better,右图局部更完整；左图有 missing stroke / wrong connection
P0035,D:/htt/callirag/outputs/layer2/blind_pair_sheets/P0035.png,,,,,left better|right better|tie|unclear,local_detail_better|component_structure_better,右图局部更完整；左图有 missing stroke / wrong connection
P0036,D:/htt/callirag/outputs/layer2/blind_pair_sheets/P0036.png,,,,,left better|right better|tie|unclear,local_detail_better|component_structure_better,右图局部更完整；左图有 missing stroke / wrong connection
P0037,D:/htt/callirag/outputs/layer2/blind_pair_sheets/P0037.png,,,,,left better|right better|tie|unclear,local_detail_better|component_structure_better,右图局部更完整；左图有 missing stroke / wrong connection
P0038,D:/htt/callirag/outputs/layer2/blind_pair_sheets/P0038.png,,,,,left better|right better|tie|unclear,local_detail_better|component_structure_better,右图局部更完整；左图有 missing stroke / wrong connection
P0039,D:/htt/callirag/outputs/layer2/blind_pair_sheets/P0039.png,,,,,left better|right better|tie|unclear,local_detail_better|component_structure_better,右图局部更完整；左图有 missing stroke / wrong connection
P0040,D:/htt/callirag/outputs/layer2/blind_pair_sheets/P0040.png,,,,,left better|right better|tie|unclear,local_detail_better|component_structure_better,右图局部更完整；左图有 missing stroke / wrong connection
P0041,D:/htt/callirag/outputs/layer2/blind_pair_sheets/P0041.png,,,,,left better|right better|tie|unclear,local_detail_better|component_structure_better,右图局部更完整；左图有 missing stroke / wrong connection
P0042,D:/htt/callirag/outputs/layer2/blind_pair_sheets/P0042.png,,,,,left better|right better|tie|unclear,local_detail_better|component_structure_better,右图局部更完整；左图有 missing stroke / wrong connection
P0043,D:/htt/callirag/outputs/layer2/blind_pair_sheets/P0043.png,,,,,left better|right better|tie|unclear,local_detail_better|component_structure_better,右图局部更完整；左图有 missing stroke / wrong connection
P0044,D:/htt/callirag/outputs/layer2/blind_pair_sheets/P0044.png,,,,,left better|right better|tie|unclear,local_detail_better|component_structure_better,右图局部更完整；左图有 missing stroke / wrong connection
P0045,D:/htt/callirag/outputs/layer2/blind_pair_sheets/P0045.png,,,,,left better|right better|tie|unclear,local_detail_better|component_structure_better,右图局部更完整；左图有 missing stroke / wrong connection
P0046,D:/htt/callirag/outputs/layer2/blind_pair_sheets/P0046.png,,,,,left better|right better|tie|unclear,local_detail_better|component_structure_better,右图局部更完整；左图有 missing stroke / wrong connection
P0047,D:/htt/callirag/outputs/layer2/blind_pair_sheets/P0047.png,,,,,left better|right better|tie|unclear,local_detail_better|component_structure_better,右图局部更完整；左图有 missing stroke / wrong connection
P0048,D:/htt/callirag/outputs/layer2/blind_pair_sheets/P0048.png,,,,,left better|right better|tie|unclear,local_detail_better|component_structure_better,右图局部更完整；左图有 missing stroke / wrong connection
P0049,D:/htt/callirag/outputs/layer2/blind_pair_sheets/P0049.png,,,,,left better|right better|tie|unclear,local_detail_better|component_structure_better,右图局部更完整；左图有 missing stroke / wrong connection
P0050,D:/htt/callirag/outputs/layer2/blind_pair_sheets/P0050.png,,,,,left better|right better|tie|unclear,local_detail_better|component_structure_better,右图局部更完整；左图有 missing stroke / wrong connection
P0051,D:/htt/callirag/outputs/layer2/blind_pair_sheets/P0051.png,,,,,left better|right better|tie|unclear,local_detail_better|component_structure_better,右图局部更完整；左图有 missing stroke / wrong connection
P0052,D:/htt/callirag/outputs/layer2/blind_pair_sheets/P0052.png,,,,,left better|right better|tie|unclear,local_detail_better|component_structure_better,右图局部更完整；左图有 missing stroke / wrong connection
P0053,D:/htt/callirag/outputs/layer2/blind_pair_sheets/P0053.png,,,,,left better|right better|tie|unclear,local_detail_better|component_structure_better,右图局部更完整；左图有 missing stroke / wrong connection
P0054,D:/htt/callirag/outputs/layer2/blind_pair_sheets/P0054.png,,,,,left better|right better|tie|unclear,local_detail_better|component_structure_better,右图局部更完整；左图有 missing stroke / wrong connection
P0055,D:/htt/callirag/outputs/layer2/blind_pair_sheets/P0055.png,,,,,left better|right better|tie|unclear,local_detail_better|component_structure_better,右图局部更完整；左图有 missing stroke / wrong connection
P0056,D:/htt/callirag/outputs/layer2/blind_pair_sheets/P0056.png,,,,,left better|right better|tie|unclear,local_detail_better|component_structure_better,右图局部更完整；左图有 missing stroke / wrong connection
P0057,D:/htt/callirag/outputs/layer2/blind_pair_sheets/P0057.png,,,,,left better|right better|tie|unclear,local_detail_better|component_structure_better,右图局部更完整；左图有 missing stroke / wrong connection
P0058,D:/htt/callirag/outputs/layer2/blind_pair_sheets/P0058.png,,,,,left better|right better|tie|unclear,local_detail_better|component_structure_better,右图局部更完整；左图有 missing stroke / wrong connection
P0059,D:/htt/callirag/outputs/layer2/blind_pair_sheets/P0059.png,,,,,left better|right better|tie|unclear,local_detail_better|component_structure_better,右图局部更完整；左图有 missing stroke / wrong connection
P0060,D:/htt/callirag/outputs/layer2/blind_pair_sheets/P0060.png,,,,,left better|right better|tie|unclear,local_detail_better|component_structure_better,右图局部更完整；左图有 missing stroke / wrong connection
P0061,D:/htt/callirag/outputs/layer2/blind_pair_sheets/P0061.png,,,,,left better|right better|tie|unclear,local_detail_better|component_structure_better,右图局部更完整；左图有 missing stroke / wrong connection
P0062,D:/htt/callirag/outputs/layer2/blind_pair_sheets/P0062.png,,,,,left better|right better|tie|unclear,local_detail_better|component_structure_better,右图局部更完整；左图有 missing stroke / wrong connection
P0063,D:/htt/callirag/outputs/layer2/blind_pair_sheets/P0063.png,,,,,left better|right better|tie|unclear,local_detail_better|component_structure_better,右图局部更完整；左图有 missing stroke / wrong connection
P0064,D:/htt/callirag/outputs/layer2/blind_pair_sheets/P0064.png,,,,,left better|right better|tie|unclear,local_detail_better|component_structure_better,右图局部更完整；左图有 missing stroke / wrong connection
P0065,D:/htt/callirag/outputs/layer2/blind_pair_sheets/P0065.png,,,,,left better|right better|tie|unclear,local_detail_better|component_structure_better,右图局部更完整；左图有 missing stroke / wrong connection
P0066,D:/htt/callirag/outputs/layer2/blind_pair_sheets/P0066.png,,,,,left better|right better|tie|unclear,local_detail_better|component_structure_better,右图局部更完整；左图有 missing stroke / wrong connection
